eis facility id,company name,site name,primary naics code,site latitude,site longitude,address,city,zip code,eis unit id,unit type,unit description,process description,scc
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649713,Unclassified,IC ENGINES,IC ENGINE PO 20282,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313113,Unclassified,IC ENGINES,IC ENGINE PO 20283,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313713,Unclassified,IC ENGINES,IC ENGINE PO 21352,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314013,Unclassified,IC ENGINES,IC ENGINE PO 19104,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647613,Unclassified,IC ENGINES,IC ENGINE PO 21369,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647713,Unclassified,IC ENGINES,IC ENGINE PO 21370,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647813,Unclassified,IC ENGINES,IC ENGINE PO 21371,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647913,Unclassified,IC ENGINES,IC ENGINE PO 21372,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648113,Unclassified,IC ENGINES,IC ENGINE PO 22348,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648213,Unclassified,IC ENGINES,IC ENGINE PO 22349,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648313,Unclassified,IC ENGINES,IC ENGINE PO 22350,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648413,Unclassified,IC ENGINES,IC ENGINE PO 22351,20100102
