left_source,left_source_id,left_name,left_address,right_source,right_source_id,right_name,right_address,score,note,distance_m,distance,name,address,operator,codes
peeringdb,2783,Multacom Telecom Center,530 W 6th Street,peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,0.623,,0.0,1.0,0.0,1.0,0.316,[]|[]
peeringdb,4681,Digital Realty SJC (1500 Space Park Dr),1500 Space Park Drive,peeringdb,7836,Centersquare Silicon Valley (SFO4-A),1500 Space Park Dr,0.622,,9.4,1.0,0.0,1.0,0.308,[]|['sfo4']
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,0.62,,0.0,1.0,0.0,1.0,0.3,[]|[]
peeringdb,3426,SFDC1 - 200 Paul Ave,200 Paul Ave,peeringdb,5326,Wave Data Centers San Francisco,200 Paul Ave,0.62,,0.0,1.0,0.0,1.0,0.3,['sfdc1']|[]
osm,way/209073658,Csquare SFO4,1500 Space Park Drive,peeringdb,4681,Digital Realty SJC (1500 Space Park Dr),1500 Space Park Drive,0.617,,2.8,1.0,0.0,1.0,0.286,['sfo4']|[]
peeringdb,5326,Wave Data Centers San Francisco,200 Paul Ave,epa_nei,13976611,"200 PAUL AVENUE LLC, C/O DIGITAL REALTY TRUST","200 PAUL AVE, BLDG F, 5TH FLOOR",0.616,,44.8,1.0,0.0,1.0,0.278,[]|[]
peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,peeringdb,3424,LADC4 - 530 W 6th St,530 W 6th St,0.615,,0.0,1.0,0.0,1.0,0.276,[]|['ladc4']
osm,way/428021816,One Wilshire,624 South Grand Avenue,peeringdb,3421,LADC1 - 624 S Grand Ave,624 S Grand Ave,0.613,,18.4,1.0,0.0,1.0,0.267,[]|['ladc1']
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.613,,13.9,1.0,0.0,1.0,0.267,[]|[]
peeringdb,642,Telecom Center LA,530 West 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.613,,13.9,1.0,0.0,1.0,0.263,[]|[]
peeringdb,2873,H5 Data Centers Silicon Valley,1360 Kifer Road,epa_nei,18610111,ELEMENT CRITICAL,1360 KIFER ROAD,0.612,,31.1,1.0,0.0,1.0,0.258,[]|[]
osm,way/37947315,Layer42 Santa Clara,3080 Raymond Street,peeringdb,293,Evocative SJC3,3080 Raymond Street,0.61,,1.4,1.0,0.0,1.0,0.25,[]|['sjc3']
osm,way/428021816,One Wilshire,624 South Grand Avenue,peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",0.61,,18.4,1.0,0.0,1.0,0.25,[]|[]
peeringdb,2782,Multacom One Wilshire,624 S Grand Ave,peeringdb,10932,DataBank Los Angeles (LAX1),624 S Grand Ave,0.61,,19.0,1.0,0.0,1.0,0.25,[]|['lax1']
osm,way/460085343,365 Main Street Data Center,365 Main Street,peeringdb,15285,3HCloud - SFO-1,365 Main St,0.608,,21.0,1.0,0.0,1.0,0.24,[]|[]
peeringdb,15285,3HCloud - SFO-1,365 Main St,epa_nei,16066311,"DIGITAL 365, LLC",365 MAIN STREET,0.608,,18.6,1.0,0.0,1.0,0.24,[]|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,2783,Multacom Telecom Center,530 W 6th Street,0.607,,0.0,1.0,0.0,1.0,0.235,[]|[]
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,2783,Multacom Telecom Center,530 W 6th Street,0.607,,0.0,1.0,0.0,1.0,0.235,[]|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,642,Telecom Center LA,530 West 6th Street,0.606,,0.0,1.0,0.0,1.0,0.231,[]|[]
peeringdb,2781,MultaCom Main,707 Wilshire Blvd,peeringdb,3422,LADC2 - 707 Wilshire Blvd,707 Wilshire blvd,0.606,,0.0,1.0,0.0,1.0,0.231,[]|['ladc2']
peeringdb,2782,Multacom One Wilshire,624 S Grand Ave,peeringdb,3421,LADC1 - 624 S Grand Ave,624 S Grand Ave,0.606,,19.0,1.0,0.0,1.0,0.231,[]|['ladc1']
peeringdb,2783,Multacom Telecom Center,530 W 6th Street,peeringdb,3424,LADC4 - 530 W 6th St,530 W 6th St,0.606,,0.0,1.0,0.0,1.0,0.231,[]|['ladc4']
